company,country,sector,valuation_b,founded,employees,funding_rounds,total_funding_m,revenue_m,yoy_growth_pct,profitable,hq_city
OpenAI,US,Foundation Model,157.0,2015,3700,7,11300,3400,340,No,San Francisco
Anthropic,US,Foundation Model,61.5,2021,1200,6,7600,850,520,No,San Francisco
SpaceX AI,US,Applied AI,12.0,2020,450,3,1200,600,180,No,Los Angeles
Databricks,US,Data & AI Platform,43.0,2013,7000,10,4200,1800,55,No,San Francisco
Scale AI,US,Data & AI Platform,13.8,2016,1100,6,1000,450,90,No,San Francisco
Cohere,Canada,Foundation Model,5.5,2019,450,5,970,120,210,No,Toronto
Mistral AI,France,Foundation Model,6.2,2023,85,4,1100,45,800,No,Paris
Aleph Alpha,Germany,Foundation Model,1.5,2019,200,3,500,30,150,No,Heidelberg
Stability AI,UK,Generative AI,1.0,2019,180,4,360,15,-40,No,London
Runway,US,Generative AI,4.0,2018,150,5,240,80,280,No,New York
Hugging Face,US,ML Platform,4.5,2016,250,5,395,70,120,No,New York
Anduril,US,Defense AI,14.0,2017,2500,7,3400,800,95,No,Costa Mesa
Shield AI,US,Defense AI,5.3,2015,800,8,970,200,110,No,San Diego
Glean,US,Enterprise AI,4.6,2019,500,5,360,100,400,No,Palo Alto
Adept AI,US,AI Agent,1.1,2022,80,3,415,10,500,No,San Francisco
Figure AI,US,Robotics AI,2.6,2022,250,3,740,5,1000,No,Sunnyvale
Zhipu AI,China,Foundation Model,3.0,2019,800,7,400,120,350,No,Beijing
Moonshot AI,China,Foundation Model,3.3,2023,300,4,850,40,900,No,Beijing
MiniMax,China,Foundation Model,2.5,2021,600,5,600,80,280,No,Shanghai
Baichuan,China,Foundation Model,2.0,2023,250,3,450,25,600,No,Beijing
SenseTime,China,Computer Vision,7.5,2014,5500,12,3800,550,15,No,Shanghai
4Paradigm,China,Enterprise AI,3.0,2014,1800,8,1200,250,40,Yes,Beijing
Megvii,China,Computer Vision,4.0,2011,2800,9,1400,180,20,No,Beijing
DeepSeek,China,Foundation Model,2.0,2023,150,2,300,15,1200,No,Hangzhou
Sakana AI,Japan,Foundation Model,1.0,2023,45,3,300,5,800,No,Tokyo
Preferred Networks,Japan,Applied AI,2.6,2014,400,5,230,160,35,Yes,Tokyo
Samsung AI,South Korea,Applied AI,3.0,2017,1200,0,0,400,25,Yes,Seoul
Naver AI,South Korea,Foundation Model,2.0,2020,600,2,200,180,45,Yes,Incheon
G42,UAE,Applied AI,10.0,2018,1500,4,2000,500,120,No,Abu Dhabi
Inflection AI,US,AI Agent,4.0,2022,100,3,1500,20,300,No,Palo Alto
Perplexity AI,US,AI Search,9.0,2022,180,5,250,100,600,No,San Francisco
Cerebras,US,AI Hardware,4.3,2016,450,6,720,80,200,No,Sunnyvale
Groq,US,AI Hardware,2.8,2016,300,5,640,50,350,No,Mountain View
Together AI,US,AI Infrastructure,3.0,2022,150,4,400,40,500,No,San Francisco
Poolside AI,US,Code AI,3.0,2023,60,3,500,5,1000,No,San Francisco
